	GeneID	chr	strand	RiStart	RiEnd
1871	ENSMUSG00000024871	chr19	+	4004322	4004648
1872	ENSMUSG00000024818	chr19	+	5884344	5885766
1873	ENSMUSG00000006649	chr7	+	30481641	30481816
1874	ENSMUSG00000028256	chr3	+	145126092	145127890
1876	ENSMUSG00000028034	chr3	+	152213976	152215630
1877	ENSMUSG00000028034	chr3	+	152231876	152234570
1878	ENSMUSG00000028034	chr3	+	152231876	152234570
1879	ENSMUSG00000028034	chr3	+	152232394	152236826
1883	ENSMUSG00000039988	chr3	+	157972999	157975294
1884	ENSMUSG00000027575	chr2	+	180972694	180974156
1885	ENSMUSG00000020111	chr10	+	59863178	59864130
1886	ENSMUSG00000054435	chr6	+	48690370	48690948
1890	ENSMUSG00000035228	chr7	+	5059495	5060785
1892	ENSMUSG00000013622	chr5	+	31052196	31052884
1893	ENSMUSG00000042810	chr6	+	48413362	48414151
1894	ENSMUSG00000037447	chr1	+	36317203	36317662
1895	ENSMUSG00000037447	chr1	+	36316208	36318181
1896	ENSMUSG00000029175	chr5	+	30655494	30656100
1902	ENSMUSG00000029166	chr5	+	30862497	30863405
1904	ENSMUSG00000002963	chr7	+	44858162	44858749
1905	ENSMUSG00000002963	chr7	+	44859722	44859945
1906	ENSMUSG00000036928	chr5	+	138290708	138291481
1907	ENSMUSG00000036928	chr5	+	138296701	138297425
1908	ENSMUSG00000028410	chr4	+	40726104	40728183
1911	ENSMUSG00000061322	chr4	+	41632139	41632488
1913	ENSMUSG00000036073	chr4	+	41756512	41756811
1914	ENSMUSG00000036073	chr4	+	41756512	41756995
1915	ENSMUSG00000036073	chr4	+	41756512	41756995
1916	ENSMUSG00000036073	chr4	+	41758083	41758695
1922	ENSMUSG00000035969	chr4	+	43426227	43427088
1923	ENSMUSG00000028461	chr4	+	43495508	43495921
1931	ENSMUSG00000028469	chr4	+	43643605	43644187
1932	ENSMUSG00000028469	chr4	+	43650148	43650492
1933	ENSMUSG00000040482	chr17	+	34838547	34838907
1934	ENSMUSG00000040482	chr17	+	34838812	34839137
1935	ENSMUSG00000029177	chr5	+	30672981	30673443
1936	ENSMUSG00000029177	chr5	+	30672981	30673443
1939	ENSMUSG00000038271	chr6	+	125149740	125151525
1940	ENSMUSG00000038271	chr6	+	125151794	125152771
1941	ENSMUSG00000038271	chr6	+	125153041	125153502
1942	ENSMUSG00000038271	chr6	+	125153041	125153502
1944	ENSMUSG00000027804	chr3	+	79595201	79597873
1946	ENSMUSG00000053286	chr1	+	151433793	151436707
1951	ENSMUSG00000004952	chr5	+	136101243	136101689
1952	ENSMUSG00000004952	chr5	+	136104515	136105739
1953	ENSMUSG00000066150	chr4	+	62387866	62391769
1954	ENSMUSG00000028392	chr4	+	62495997	62497298
1956	ENSMUSG00000033540	chr5	+	108680110	108680497
1957	ENSMUSG00000033540	chr5	+	108680110	108680497
1962	ENSMUSG00000027333	chr2	+	131520094	131521171
1963	ENSMUSG00000027333	chr2	+	131520094	131521171
1964	ENSMUSG00000027333	chr2	+	131520094	131521171
1965	ENSMUSG00000027333	chr2	+	131520411	131521171
1977	ENSMUSG00000030822	chr7	+	127473594	127473986
1978	ENSMUSG00000073792	chr4	+	99750728	99752885
1986	ENSMUSG00000028608	chr4	+	107894872	107897118
1987	ENSMUSG00000028608	chr4	+	107896661	107897118
1988	ENSMUSG00000034610	chr4	+	108557321	108559415
1990	ENSMUSG00000027680	chr3	+	34058023	34058231
1993	ENSMUSG00000090266	chr11	+	116848900	116849300
1994	ENSMUSG00000028716	chr4	+	115088707	115089212
1995	ENSMUSG00000028716	chr4	+	115088722	115089212
2001	ENSMUSG00000028700	chr4	+	116155728	116156014
2003	ENSMUSG00000028689	chr4	+	116709239	116709619
2004	ENSMUSG00000028689	chr4	+	116709239	116709619
2007	ENSMUSG00000001418	chr3	+	88325676	88326312
2012	ENSMUSG00000098488	chr2	+	120034919	120035324
2013	ENSMUSG00000098488	chr2	+	120036746	120037095
2016	ENSMUSG00000041939	chr5	+	114445387	114446306
2022	ENSMUSG00000060890	chrX	+	100611747	100612111
2023	ENSMUSG00000060890	chrX	+	100614130	100614739
2024	ENSMUSG00000028626	chr4	+	121043695	121043897
2025	ENSMUSG00000010277	chr11	+	78272777	78273299
2033	ENSMUSG00000040859	chr4	+	129465229	129466990
2034	ENSMUSG00000040859	chr4	+	129465229	129466990
2038	ENSMUSG00000026821	chr2	+	28548112	28548505
2039	ENSMUSG00000026821	chr2	+	28549289	28550563
2040	ENSMUSG00000005262	chr16	+	18826254	18827106
2042	ENSMUSG00000054405	chr4	+	132544055	132544751
2044	ENSMUSG00000025373	chr10	+	128438082	128441438
2047	ENSMUSG00000012123	chr4	+	134089271	134091236
2048	ENSMUSG00000012126	chr4	+	134123841	134124954
2049	ENSMUSG00000056394	chr7	+	13305909	13306055
2052	ENSMUSG00000028821	chr4	+	134934455	134935049
2053	ENSMUSG00000028821	chr4	+	134934931	134935464
2056	ENSMUSG00000086662	chr7	+	65610296	65610901
2057	ENSMUSG00000002055	chr11	+	78313512	78313939
2058	ENSMUSG00000002055	chr11	+	78314163	78314456
2060	ENSMUSG00000028737	chr4	+	139633714	139633989
2061	ENSMUSG00000028737	chr4	+	139640612	139642273
2062	ENSMUSG00000090121	chr12	+	70161450	70163497
2067	ENSMUSG00000006215	chr4	+	141464236	141464702
2068	ENSMUSG00000006215	chr4	+	141464236	141464702
2069	ENSMUSG00000006215	chr4	+	141465523	141465842
2070	ENSMUSG00000006215	chr4	+	141465523	141466107
2074	ENSMUSG00000066800	chr1	+	153758382	153758588
2075	ENSMUSG00000066800	chr1	+	153759543	153760814
2076	ENSMUSG00000027710	chr3	+	36074349	36075343
2077	ENSMUSG00000027710	chr3	+	36087759	36088614
2085	ENSMUSG00000028948	chr4	+	152045694	152046644
2089	ENSMUSG00000053198	chr7	+	27515250	27520214
2093	ENSMUSG00000023153	chr4	+	155469302	155469503
2094	ENSMUSG00000023153	chr4	+	155469302	155469503
2095	ENSMUSG00000029071	chr4	+	155853636	155854086
2096	ENSMUSG00000029071	chr4	+	155854565	155854800
2097	ENSMUSG00000029071	chr4	+	155854565	155855025
2098	ENSMUSG00000029071	chr4	+	155854565	155855180
2100	ENSMUSG00000029033	chr4	+	155903310	155903858
2101	ENSMUSG00000029033	chr4	+	155903310	155903858
2104	ENSMUSG00000059939	chr4	+	156121932	156122416
2105	ENSMUSG00000059939	chr4	+	156123975	156124122
2108	ENSMUSG00000095567	chr4	+	156237342	156237728
2109	ENSMUSG00000029283	chr5	+	106974600	106975660
2110	ENSMUSG00000054099	chr5	+	8440720	8442571
2112	ENSMUSG00000063531	chr5	+	14225552	14226530
2113	ENSMUSG00000061601	chr5	+	14674954	14682387
2114	ENSMUSG00000000787	chrX	+	13287224	13287563
2115	ENSMUSG00000000787	chrX	+	13288278	13288671
2116	ENSMUSG00000036054	chr8	+	70260468	70261317
2119	ENSMUSG00000028999	chr5	+	23809783	23810194
2120	ENSMUSG00000030795	chr7	+	127972553	127975920
2121	ENSMUSG00000038276	chr5	+	24415389	24415937
2128	ENSMUSG00000038828	chr5	+	30871419	30871855
2129	ENSMUSG00000038828	chr5	+	30872686	30872904
2130	ENSMUSG00000038828	chr5	+	30872686	30873144
2131	ENSMUSG00000038828	chr5	+	30872686	30873144
2132	ENSMUSG00000038828	chr5	+	30874850	30875886
2135	ENSMUSG00000029146	chr5	+	31195745	31196041
2136	ENSMUSG00000029146	chr5	+	31195950	31196264
2137	ENSMUSG00000063870	chr6	+	125120204	125120556
2138	ENSMUSG00000029148	chr5	+	31243762	31243991
2139	ENSMUSG00000029148	chr5	+	31243762	31243991
2140	ENSMUSG00000029148	chr5	+	31244165	31244559
2141	ENSMUSG00000029148	chr5	+	31250089	31250365
2145	ENSMUSG00000054252	chr5	+	33730143	33732261
2146	ENSMUSG00000054252	chr5	+	33734346	33734623
2148	ENSMUSG00000029104	chr5	+	34898796	34899927
2150	ENSMUSG00000023960	chr17	+	44080646	44081510
2151	ENSMUSG00000023960	chr17	+	44082743	44086567
2154	ENSMUSG00000003031	chr6	+	134921955	134925513
2156	ENSMUSG00000015880	chr5	+	45691601	45693338
2157	ENSMUSG00000015880	chr5	+	45696032	45696544
2158	ENSMUSG00000084845	chr4	+	155735397	155740564
2159	ENSMUSG00000028759	chr4	+	138225888	138228787
2160	ENSMUSG00000028759	chr4	+	138225888	138228787
2166	ENSMUSG00000029199	chr5	+	65392219	65392389
2167	ENSMUSG00000037736	chr5	+	66998646	66999388
2168	ENSMUSG00000029221	chr5	+	67342093	67344569
2171	ENSMUSG00000024220	chr17	+	28201260	28202348
2179	ENSMUSG00000073889	chr4	+	41763824	41765121
2180	ENSMUSG00000073889	chr4	+	41765274	41765552
2181	ENSMUSG00000073889	chr4	+	41765385	41766274
2182	ENSMUSG00000029291	chr5	+	88614940	88616579
2183	ENSMUSG00000042185	chr9	+	31397719	31398644
2184	ENSMUSG00000042185	chr9	+	31402234	31403074
2188	ENSMUSG00000023707	chr5	+	124114064	124114645
2189	ENSMUSG00000023707	chr5	+	124114064	124114645
2190	ENSMUSG00000026955	chr2	+	25375967	25376274
2191	ENSMUSG00000016833	chr5	+	100803969	100804471
2195	ENSMUSG00000092354	chr5	+	101841750	101842073
2197	ENSMUSG00000029290	chr5	+	105886316	105888839
2198	ENSMUSG00000029290	chr5	+	105886316	105888839
2201	ENSMUSG00000029267	chr5	+	108080824	108081023
2207	ENSMUSG00000007080	chr5	+	110295227	110295637
2210	ENSMUSG00000003549	chr7	+	19355100	19355361
2211	ENSMUSG00000003549	chr7	+	19355100	19355361
2212	ENSMUSG00000002486	chr5	+	114719578	114720268
2213	ENSMUSG00000036833	chr2	+	25002614	25003032
2214	ENSMUSG00000041638	chr5	+	115574578	115575296
2215	ENSMUSG00000041638	chr5	+	115579786	115580579
2221	ENSMUSG00000029359	chr5	+	118056376	118056644
2222	ENSMUSG00000029359	chr5	+	118056376	118056644
2223	ENSMUSG00000018076	chr5	+	118749608	118751034
2224	ENSMUSG00000018076	chr5	+	118759101	118763916
2226	ENSMUSG00000029599	chr5	+	120624537	120625844
2227	ENSMUSG00000029599	chr5	+	120625925	120626505
2231	ENSMUSG00000004455	chr5	+	122172731	122173280
2232	ENSMUSG00000004455	chr5	+	122172731	122173280
2233	ENSMUSG00000004455	chr5	+	122174054	122175273
2239	ENSMUSG00000031442	chr8	+	13018695	13020505
2240	ENSMUSG00000000915	chr5	+	124000711	124001311
2241	ENSMUSG00000029772	chr6	+	29863142	29867419
2242	ENSMUSG00000029772	chr6	+	29906507	29906759
2245	ENSMUSG00000038011	chr5	+	124817988	124819410
2246	ENSMUSG00000029482	chr5	+	125511639	125511968
2253	ENSMUSG00000040532	chr5	+	135010886	135011380
2254	ENSMUSG00000040532	chr5	+	135010886	135011380
2255	ENSMUSG00000040532	chr5	+	135011483	135012170
2256	ENSMUSG00000000916	chr5	+	135375274	135375698
2258	ENSMUSG00000036931	chr7	+	30425708	30426021
2263	ENSMUSG00000001520	chr6	+	128404934	128406572
2264	ENSMUSG00000001520	chr6	+	128407685	128408932
2265	ENSMUSG00000001520	chr6	+	128407685	128408932
2266	ENSMUSG00000030428	chr7	+	4133074	4133738
2267	ENSMUSG00000063334	chr10	+	111977111	111977398
2271	ENSMUSG00000093445	chr5	+	137633848	137634249
2272	ENSMUSG00000039382	chrX	+	7723314	7723753
2273	ENSMUSG00000032103	chr9	+	35564783	35565855
2275	ENSMUSG00000019494	chr5	+	138161673	138162225
2281	ENSMUSG00000022579	chr15	+	75597030	75597629
2283	ENSMUSG00000039623	chr5	+	142470393	142472384
2289	ENSMUSG00000016503	chr5	+	146953226	146954077
2296	ENSMUSG00000029647	chr5	+	147545605	147548496
2300	ENSMUSG00000041264	chr5	+	149213351	149215434
2301	ENSMUSG00000034127	chr10	+	115817283	115817660
2302	ENSMUSG00000034127	chr10	+	115817283	115817660
2303	ENSMUSG00000042447	chr6	+	8233049	8234361
2305	ENSMUSG00000029670	chr6	+	21969277	21970107
2306	ENSMUSG00000039629	chr6	+	29931119	29931829
2307	ENSMUSG00000029775	chr6	+	30447940	30449630
2311	ENSMUSG00000037845	chr9	+	50770109	50770790
2312	ENSMUSG00000024807	chr19	+	6048454	6048743
2313	ENSMUSG00000024807	chr19	+	6050521	6051310
2314	ENSMUSG00000033542	chr6	+	43283892	43285429
2319	ENSMUSG00000007458	chr6	+	122313258	122315166
2320	ENSMUSG00000038194	chr7	+	45419709	45421382
2321	ENSMUSG00000039013	chr7	+	43351523	43352009
2322	ENSMUSG00000000134	chrX	+	7766554	7767684
2323	ENSMUSG00000000134	chrX	+	7769429	7770830
2324	ENSMUSG00000000134	chrX	+	7770994	7772596
2325	ENSMUSG00000000134	chrX	+	7772448	7775201
2326	ENSMUSG00000023393	chr2	+	180731879	180732572
2327	ENSMUSG00000023393	chr2	+	180731879	180732572
2333	ENSMUSG00000056737	chr6	+	72555476	72555905
2343	ENSMUSG00000034744	chr6	+	83796906	83797275
2348	ENSMUSG00000071337	chr6	+	86418877	86420411
2349	ENSMUSG00000071337	chr6	+	86423605	86424420
2353	ENSMUSG00000018796	chr8	+	46511359	46513390
2354	ENSMUSG00000002871	chr6	+	88910150	88910401
2355	ENSMUSG00000030263	chr6	+	145147635	145147844
2356	ENSMUSG00000030263	chr6	+	145171503	145171704
2357	ENSMUSG00000004264	chr6	+	124713983	124714959
2358	ENSMUSG00000004264	chr6	+	124715953	124716430
2359	ENSMUSG00000034083	chr6	+	91885347	91888250
2360	ENSMUSG00000030409	chr7	+	19088000	19088264
2361	ENSMUSG00000030409	chr7	+	19088000	19088264
2362	ENSMUSG00000030409	chr7	+	19091938	19092254
2365	ENSMUSG00000028973	chr5	+	24405814	24406254
2368	ENSMUSG00000030323	chr6	+	115913871	115916047
2369	ENSMUSG00000030323	chr6	+	115913871	115916047
2370	ENSMUSG00000041477	chr6	+	119214769	119217979
2371	ENSMUSG00000041477	chr6	+	119214769	119217979
2373	ENSMUSG00000030166	chr6	+	119918586	119919077
2374	ENSMUSG00000031505	chr8	+	11509321	11509557
2375	ENSMUSG00000033545	chr8	+	111621595	111626030
2380	ENSMUSG00000038346	chr6	+	125024032	125024552
2381	ENSMUSG00000038346	chr6	+	125024032	125024552
2382	ENSMUSG00000038346	chr6	+	125024032	125025082
2383	ENSMUSG00000038346	chr6	+	125024032	125025082
2384	ENSMUSG00000038346	chr6	+	125024032	125025082
2387	ENSMUSG00000029003	chr4	+	148140181	148140834
2393	ENSMUSG00000035674	chr7	+	3617616	3618140
2394	ENSMUSG00000008373	chr7	+	3634692	3636358
2395	ENSMUSG00000035632	chr7	+	3655570	3656156
2396	ENSMUSG00000035632	chr7	+	3659380	3661100
2397	ENSMUSG00000031985	chr8	+	124886682	124886946
2398	ENSMUSG00000035545	chr7	+	4144052	4144813
2399	ENSMUSG00000006154	chr7	+	4477889	4478751
2409	ENSMUSG00000060397	chr7	+	12884642	12885118
2410	ENSMUSG00000033961	chr7	+	12981845	12983396
2411	ENSMUSG00000005566	chr7	+	13027832	13028135
2412	ENSMUSG00000005566	chr7	+	13029087	13029252
2413	ENSMUSG00000029578	chr5	+	142658191	142659162
2414	ENSMUSG00000002763	chr17	+	46723673	46724027
2416	ENSMUSG00000006024	chr7	+	16113349	16113560
2417	ENSMUSG00000001918	chr7	+	16795757	16796158
2420	ENSMUSG00000002043	chr7	+	19514421	19515090
2421	ENSMUSG00000002043	chr7	+	19514421	19515090
2423	ENSMUSG00000053552	chr2	+	130361828	130362161
2425	ENSMUSG00000071172	chr17	+	29038489	29041293
2426	ENSMUSG00000005442	chr7	+	25293167	25294145
2430	ENSMUSG00000040599	chr11	+	71019610	71020189
2432	ENSMUSG00000049643	chr7	+	27580336	27582099
2434	ENSMUSG00000037563	chr7	+	28352176	28352410
2435	ENSMUSG00000015149	chr7	+	28785663	28785882
2436	ENSMUSG00000015165	chr7	+	28818460	28818924
2437	ENSMUSG00000053964	chr7	+	28840580	28840952
2438	ENSMUSG00000053964	chr7	+	28840580	28840952
2440	ENSMUSG00000016933	chr2	+	160761079	160761466
2441	ENSMUSG00000030584	chr7	+	29314138	29314402
2443	ENSMUSG00000020877	chr11	+	97032754	97033229
2446	ENSMUSG00000036560	chr7	+	31063103	31063356
2455	ENSMUSG00000030468	chr7	+	43409242	43410556
2456	ENSMUSG00000030468	chr7	+	43409242	43411461
2457	ENSMUSG00000030468	chr7	+	43411561	43412174
2458	ENSMUSG00000038695	chr7	+	44470858	44471307
2459	ENSMUSG00000011096	chr7	+	44853779	44854108
2460	ENSMUSG00000037740	chr2	+	130564080	130564431
2461	ENSMUSG00000003273	chr7	+	45702832	45703134
2462	ENSMUSG00000059070	chr7	+	45719528	45720018
2464	ENSMUSG00000020953	chr12	+	51593340	51593657
2472	ENSMUSG00000030512	chr7	+	66069423	66070665
2476	ENSMUSG00000022212	chr14	+	55513387	55513717
2477	ENSMUSG00000022212	chr14	+	55515522	55515782
2478	ENSMUSG00000022212	chr14	+	55515862	55516385
2479	ENSMUSG00000039263	chr2	+	174120543	174121124
2490	ENSMUSG00000031634	chr8	+	45980314	45980639
2491	ENSMUSG00000035623	chr7	+	97669768	97670882
2495	ENSMUSG00000079334	chr9	+	107579099	107580935
2496	ENSMUSG00000033685	chr7	+	100494213	100496948
2499	ENSMUSG00000070425	chr7	+	102082040	102083018
2502	ENSMUSG00000027582	chr2	+	181379773	181382314
2503	ENSMUSG00000022580	chr15	+	75711790	75712451
2504	ENSMUSG00000022580	chr15	+	75711790	75712451
2505	ENSMUSG00000022580	chr15	+	75713218	75713611
2506	ENSMUSG00000030890	chr7	+	105740770	105741043
2507	ENSMUSG00000030890	chr7	+	105741373	105741707
2509	ENSMUSG00000031570	chr8	+	25721661	25722600
2510	ENSMUSG00000031570	chr8	+	25721661	25722600
2512	ENSMUSG00000030802	chr7	+	127905221	127905480
2513	ENSMUSG00000046364	chr7	+	109519584	109519993
2515	ENSMUSG00000070284	chr9	+	108050848	108051242
2521	ENSMUSG00000073838	chr7	+	126489551	126489911
2523	ENSMUSG00000053877	chr7	+	127519580	127519832
2524	ENSMUSG00000030805	chr7	+	127846019	127846276
2525	ENSMUSG00000030805	chr7	+	127848568	127849019
2526	ENSMUSG00000030782	chr7	+	128248017	128248472
2527	ENSMUSG00000030782	chr7	+	128248419	128248720
2528	ENSMUSG00000030782	chr7	+	128248419	128248720
2529	ENSMUSG00000030782	chr7	+	128248577	128248974
2530	ENSMUSG00000030782	chr7	+	128248886	128249195
2533	ENSMUSG00000046519	chr3	+	95617043	95619241
2535	ENSMUSG00000068917	chr3	+	89168694	89170115
2536	ENSMUSG00000068917	chr3	+	89168694	89170115
2537	ENSMUSG00000068917	chr3	+	89169614	89170115
2538	ENSMUSG00000063704	chr15	+	75998549	75999152
2554	ENSMUSG00000004567	chr8	+	3508683	3509235
2557	ENSMUSG00000004626	chr8	+	3633847	3634123
2558	ENSMUSG00000011832	chr8	+	4205571	4205970
2559	ENSMUSG00000011832	chr8	+	4206055	4206327
2563	ENSMUSG00000031543	chr8	+	23132096	23132634
2564	ENSMUSG00000031543	chr8	+	23132096	23132634
2565	ENSMUSG00000028423	chr4	+	41015202	41016150
2566	ENSMUSG00000020669	chr12	+	30941966	30942868
2568	ENSMUSG00000017837	chr11	+	100624942	100625184
2572	ENSMUSG00000031641	chr8	+	61489939	61491678
2574	ENSMUSG00000022763	chr16	+	17500288	17500534
2575	ENSMUSG00000031864	chr8	+	68796716	68798801
2576	ENSMUSG00000002342	chr8	+	70180705	70181049
2579	ENSMUSG00000031842	chr8	+	70746531	70747979
2580	ENSMUSG00000031842	chr8	+	70748367	70749033
2581	ENSMUSG00000004677	chr8	+	71348330	71349194
2582	ENSMUSG00000046295	chr8	+	71406678	71407749
2583	ENSMUSG00000074247	chr8	+	71472036	71472246
2584	ENSMUSG00000043243	chr8	+	71602098	71602488
2585	ENSMUSG00000043243	chr8	+	71604927	71605718
2586	ENSMUSG00000031805	chr8	+	71679558	71680557
2587	ENSMUSG00000031805	chr8	+	71680639	71680994
2591	ENSMUSG00000034518	chr8	+	74999559	74999891
2592	ENSMUSG00000005481	chr8	+	83721733	83722361
2593	ENSMUSG00000047986	chr8	+	84026999	84028171
2594	ENSMUSG00000003808	chr8	+	84867548	84867918
2595	ENSMUSG00000003808	chr8	+	84867548	84867918
2596	ENSMUSG00000003808	chr8	+	84868008	84868338
2601	ENSMUSG00000008167	chr8	+	85064383	85064672
2603	ENSMUSG00000014782	chr8	+	105376748	105377135
2612	ENSMUSG00000000738	chr8	+	123079413	123080810
2613	ENSMUSG00000000740	chr8	+	123102844	123103356
2614	ENSMUSG00000000740	chr8	+	123103897	123105244
2615	ENSMUSG00000034796	chr8	+	123126632	123127439
2619	ENSMUSG00000001065	chr8	+	123264815	123265070
2620	ENSMUSG00000031918	chr9	+	13799149	13800082
2621	ENSMUSG00000031939	chr9	+	15311526	15312104
2625	ENSMUSG00000038884	chr9	+	20869603	20871235
2626	ENSMUSG00000038884	chr9	+	20872867	20873264
2628	ENSMUSG00000014303	chr16	+	4611532	4611869
2631	ENSMUSG00000038119	chr9	+	35463874	35464228
2637	ENSMUSG00000037266	chr4	+	134925292	134926818
2638	ENSMUSG00000037266	chr4	+	134925292	134926818
2639	ENSMUSG00000032115	chr9	+	44380815	44381408
2640	ENSMUSG00000032115	chr9	+	44380815	44381408
2641	ENSMUSG00000032115	chr9	+	44387031	44387329
2642	ENSMUSG00000032115	chr9	+	44388277	44388604
2649	ENSMUSG00000079109	chr5	+	143928098	143929042
2650	ENSMUSG00000032301	chr9	+	54952081	54952383
2653	ENSMUSG00000032295	chr9	+	57137281	57137585
2654	ENSMUSG00000032295	chr9	+	57139499	57139964
2655	ENSMUSG00000032295	chr9	+	57141563	57141915
2656	ENSMUSG00000041506	chr9	+	106482911	106483211
2664	ENSMUSG00000036466	chr9	+	64705726	64709205
2665	ENSMUSG00000036661	chr15	+	73568421	73568745
2666	ENSMUSG00000033543	chr9	+	70016818	70017191
2670	ENSMUSG00000030037	chr6	+	83109313	83109939
2671	ENSMUSG00000003199	chr17	+	56012270	56012492
2672	ENSMUSG00000029502	chr5	+	110181602	110184607
2675	ENSMUSG00000032359	chr9	+	90067026	90068473
2677	ENSMUSG00000028552	chr4	+	109361162	109361867
2678	ENSMUSG00000036622	chr4	+	140993947	140994391
2679	ENSMUSG00000036622	chr4	+	141002456	141002783
2681	ENSMUSG00000002948	chr8	+	4245694	4247897
2682	ENSMUSG00000032567	chr9	+	105396544	105397858
2683	ENSMUSG00000032567	chr9	+	105396544	105397858
2693	ENSMUSG00000010048	chr9	+	107590297	107590662
2694	ENSMUSG00000032586	chr9	+	107962830	107963417
2695	ENSMUSG00000079323	chr9	+	107993133	107993462
2698	ENSMUSG00000006676	chr9	+	108493560	108494238
2699	ENSMUSG00000006676	chr9	+	108497895	108498241
2700	ENSMUSG00000006676	chr9	+	108497895	108498241
2701	ENSMUSG00000023259	chr9	+	108856331	108857105
2702	ENSMUSG00000025651	chr9	+	108947335	108947758
2703	ENSMUSG00000025650	chr9	+	108967770	108968050
2704	ENSMUSG00000032477	chr9	+	109889710	109891856
2705	ENSMUSG00000021453	chr13	+	51847351	51847769
2706	ENSMUSG00000036138	chr9	+	119344465	119346568
2710	ENSMUSG00000037594	chr12	+	112808974	112809808
2712	ENSMUSG00000002007	chrX	+	73778104	73778346
2713	ENSMUSG00000032322	chr9	+	56123747	56124673
2714	ENSMUSG00000032322	chr9	+	56127484	56127860
2716	ENSMUSG00000031154	chrX	+	7867514	7867823
